order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,operating_revenue_growth_ratio_ttm,net_profit_growth_ratio_ttm,gross_profit_margin_ttm,total_asset_turnover_ttm,cash_ratio_lf,current_ratio_lf,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
002434.XSHE,MainBoard,ConsumerDiscretionary,22,2018-10-25,0.3375308578324787,0.514124810536051,-0.6500054121326756,-0.21083063648586325,-0.7745931870146409,-0.10570619237050653,-0.4191736611304465,-0.33555844286166486,-0.5549544123782917,-0.4084965763495613,-1.6958977062408613,-1.1609826267930352,-2.551389306307422,-2.773103180477478,-0.9787009405493124,-3.698964791164022,-0.37314278567336945,-0.40098596782058,-0.49470023343063313,2.147642249734457,0.5628571472199844,-1.1024353736181287,-2.5763837435282757
300479.XSHE,GEM,InformationTechnology,22,2018-10-25,1.933004382242266,-0.7084991739517025,0.7916342370715675,-0.6783599884531935,-0.09794238498562112,-0.0820532662232588,0.29930122263301634,-0.17648269381268283,-0.38898991154609225,-0.07328706135642464,-0.8424833175585672,-0.7513036158906585,-0.5378535458829018,-0.16191913660678905,-0.9787009405493124,-0.6911818321853636,-0.037933038671016946,-0.1931253603504989,0.09182025182576592,1.353249826010516,0.33231352991561564,0.18853941567533555,-0.4834444920826611
000975.XSHE,MainBoard,Materials,22,2018-10-25,-0.9095653020172663,-0.19001611915291833,0.0410490152352055,-0.7145097643194529,2.696837472141778,0.2850129586201665,0.26500323338605203,-0.7003599610942124,-0.1922909718082717,0.33455134082011917,0.4500372534478338,0.3853704138938854,0.36453930764047754,0.41760256004620966,-0.05226356454604059,1.4802756197842746,-0.34795251894178986,-0.4654336690998594,-0.5003893971162786,-0.718869499148219,-0.5899506412170725,0.7798271082417001,1.9730082645856106
002355.XSHE,MainBoard,ConsumerDiscretionary,22,2018-10-25,0.5609862616601512,-0.5250529987147446,-0.39043742881061116,-0.348751555176965,0.12665659404758225,-0.068326647519892,-0.6762088627980559,-0.4872998963490998,0.033419305968111726,-0.20863543773904472,0.5187291127282078,0.5917913497090819,-0.1948425849303553,-0.6510263106016955,-1.9051383165525837,0.2064193552289336,-0.4091976054422756,-0.462375017276278,-0.48473229206874957,-0.7871750046530925,-0.7475138105903995,-1.0306584817695665,-1.379446443164317
300117.XSHE,GEM,Industrials,22,2018-10-25,0.818723045443462,0.05531825259097776,-0.49661122989485046,1.0039296809309444,0.626341850148139,0.23922985353313037,-0.8873941607601378,-0.022209609688931296,-0.6682558127783833,-0.5861965587438741,0.48574203852028636,0.5227400958953384,-0.05131860436322116,-0.022181254696988555,-0.9787009405493124,-0.45104279788966795,-0.5207313177204068,-0.5339907675377831,-0.5621905403948536,-0.7367513774511631,-0.6985429006366167,-0.8939208044186591,-0.6186028128299574
300032.XSHE,GEM,InformationTechnology,22,2018-10-25,0.8767771619693655,-3.7463666284276784,-0.9925699218279929,0.904770149946893,-0.1703180950331313,-2.519317538021436,-1.101596055521686,-0.1723428667254937,-0.46116845118198946,-0.5112021542021113,0.47835482871442586,0.5295076741096051,-0.11164842616429647,-0.049036875483367263,-0.05226356454604059,-0.47329850306779814,0.6294936381326894,0.6099313048849638,0.07550389875201415,-0.6149159206727846,-0.5500113862136317,0.8624883712920259,0.978543585499422
002421.XSHE,MainBoard,InformationTechnology,22,2018-10-25,-0.4524232370344145,0.11040040780387655,-0.1636101176046018,-0.47730648954218696,-0.7215887455618466,-0.02046786515007726,0.22888272465291362,-0.46079737656162684,-0.4932915608504306,-0.293276569057545,0.7624201429040575,0.8813771629413099,-0.33782724387716484,-0.857083340498527,-0.9787009405493124,-0.11880511765922365,-0.3687241659068519,-0.512601460123197,-0.5672653113693403,-0.9855584586574517,-0.9230287580087958,0.13908736921455658,-0.6450813645651103
603519.XSHG,MainBoard,ConsumerDiscretionary,22,2018-10-25,2.28478245808032,0.3407974822472635,-0.20079452027105377,0.08732564823603452,-0.0809711002664509,0.0010212484017110394,-0.8485675696445074,2.0178251021413653,0.9493327870773115,1.969012516517729,0.21572160031836551,0.1050879396148838,0.5096670613140242,0.9061517731806462,1.800611187460502,0.8866756884512736,-0.5411035875969318,-0.5156993847767559,-0.43236695044426926,-0.17245883139333987,-0.371820863328997,-0.3998477722380889,-0.6180324272121454
002712.XSHE,MainBoard,ConsumerDiscretionary,22,2018-10-25,1.2816539568301217,0.8473477180824023,-0.75638481362456,0.9067652812456365,0.26648955230493937,0.05344733716403824,-0.9644743776444121,0.9339341596216139,-0.21429770348368807,-0.3270100691514316,-0.847316902819969,-0.244593720717486,-2.6665856150009786,-2.8691325651486332,-1.9051383165525837,-3.698964791164022,-0.22188668303152645,-0.45045062923041423,-0.5380438579516573,0.5451041504487786,0.03587956962865279,-1.8031511544569039,-2.6742265636156075
300258.XSHE,GEM,ConsumerDiscretionary,22,2018-10-25,-0.2587402609440502,0.5078341937987134,0.06869375858905537,-0.587460292211263,-0.030647884710270645,0.0652324343764135,0.48693802802795955,-0.2895049533347824,-0.3747091692290875,-0.592088605339537,-0.11941831093359634,0.07284480722943543,-0.8161393626442492,-0.690262293815108,-0.05226356454604059,-0.3154582715274226,-0.7241398917013814,-0.7561379174639506,-0.6875059321844414,0.09205884910609911,-0.3012808119308243,-0.750588287831737,-0.19914060712459905
000410.XSHE,MainBoard,Industrials,22,2018-10-25,-0.47311728356489485,1.9072588013395317,2.7672889563810936,0.4088082999677178,-0.5915457287837821,-0.6185188357559694,-0.2657743463905144,-0.964649410604571,-0.5589262678639564,-0.7416832218548225,0.15999645103333732,0.2968388147442649,-0.5306745240512233,-0.9049062019826023,-0.05226356454604059,-0.5460066466777064,-0.4404630803459014,-0.4493604290524605,-0.43422599460455047,-0.1698799278711627,-0.42160575084466784,3.4875079735400543,0.5965950419874188
300219.XSHE,GEM,InformationTechnology,22,2018-10-25,0.4693279442975852,0.8922601356831229,-0.30432532431884984,-0.00041800577980961846,0.08666840879602732,0.42346090557160027,-0.43824535978500007,0.4692329822554558,-0.4445995929459235,-0.5125378439270034,-0.23202635602471092,-0.23725520621588467,-0.016806885053096028,-0.44530987083692286,-0.9787009405493124,-0.21715317543357135,-0.6407788397721155,-0.6445845508478835,-0.6548269650836682,-0.02345081942478243,-0.05205098899900585,-1.7290863216133778,-1.2219485709881455
601579.XSHG,MainBoard,ConsumerStaples,22,2018-10-25,-0.6829337502967395,0.05508022319800688,-0.5702004579563522,-0.5588676530495126,-0.31401405235283714,0.03046704026502952,0.7246496327177875,-0.7307504964161559,-0.038932562723125036,0.16613670078133225,0.3896953658026756,0.6748663276972835,-1.1024871753041947,-0.8479328189504907,-0.05226356454604059,-0.8556393138062537,-0.7410227154374512,-0.7816413041995177,-0.7168040729351602,-0.5357385988977312,-0.7415314711165574,-0.9915929826335165,-1.8143168798326557
000078.XSHE,MainBoard,ConsumerStaples,22,2018-10-25,0.9005389739008719,1.1545848043421063,-0.6063380216349452,3.846511170181435,2.1625617632748937,0.10613875670021958,-0.9203294142422881,1.1142841901471807,-0.7213390664228237,-0.6411518956131135,0.2947952516579323,0.5097646590928226,-0.8291414395950605,-2.754056846033603,-1.9051383165525837,-2.396730503757721,-0.3380962312559582,-0.48447841015703197,-0.5488924793927132,-0.5773288797239702,-0.6889983530282816,-1.9136541851639104,-2.398107058105253
600310.XSHG,MainBoard,Utilities,22,2018-10-25,-0.5733862060342535,-0.4345920870296912,-0.5046597169052118,3.846511170181435,1.5838551078097638,-0.09620584711006432,-1.378046716371232,0.8445917082989974,-0.5939235250687364,-0.9407242797173573,0.6637663317375542,0.6433428500729844,0.22253248378920026,1.5436243060021688,0.8741738114572313,1.6316740340744151,-0.7224191307253592,-0.6920130527943343,-0.6902779104081345,-0.7974951730804678,-0.8294873399534519,-0.3574415294289292,-0.027253173070609787
000543.XSHE,MainBoard,Utilities,22,2018-10-25,0.062103854286954356,0.12787818833294554,-0.9489334218230655,1.2922798377200397,-0.3440494841467135,0.022369612305672516,-1.3887233766257265,-0.35602006910294237,-0.6014779789441195,-0.974631113626285,0.5693127990913176,0.5475631870580768,0.20947647452045842,1.0140810016959392,0.8741738114572313,0.7545025227361195,-0.6074888842024483,-0.6300206630821175,-0.6374814384940731,-0.9448924739388357,-0.6504530502303115,-0.670092322853558,-0.8167910012595889
603158.XSHG,MainBoard,ConsumerDiscretionary,22,2018-10-25,-1.6201581255609738,-0.16419251679263705,0.6416657336854852,-0.6036836157633539,-0.24375309375763363,-0.07382891421552587,0.0997154316768455,0.07583097722831257,-0.26164439059874595,0.06667787909666638,0.9466797698307975,0.9445579675445849,0.20203440703369757,1.3591459800581134,0.8741738114572313,1.1366299770138455,-0.7833091934336769,-0.8226365498079652,-0.7785045932635938,-0.9903533416266825,-0.8812973873875957,-1.1473651361222539,-1.5636982031374167
300224.XSHE,GEM,Materials,22,2018-10-25,-0.43482827374649935,-0.17345131712108613,-0.4208779368935595,-0.5223041684071326,0.3037309364138258,0.33817239897049023,-0.5527655058358583,-0.5137249829276019,-0.18414057040925877,0.3126815247414887,0.5469560685478682,0.4914470920110586,0.34550371206054126,0.6921226251079459,0.8741738114572313,0.7116495234041447,-0.4881993064606866,-0.5387965454672403,-0.42797008920200685,-0.667536676698407,-0.38143896720513504,1.202039288257348,1.0270154585218616
600190.XSHG,MainBoard,Industrials,22,2018-10-25,-0.5389197906397136,-0.2688177220188418,-0.8378385594530826,0.2412344224098768,0.5760714464803607,0.0987449569616046,-1.0188113105233052,-0.7468365062312399,-0.6468634285166396,-0.9986317132625612,0.6127017369033131,0.6614316614065517,-0.07515401198056725,0.2533898716568103,0.8741738114572313,0.26904071652046546,-0.8218891510192744,-0.8459198690183373,-0.8041769925823314,-0.8591363361194295,-0.8747646408226706,-0.5632991709360612,-0.0675153486854771
600526.XSHG,MainBoard,Industrials,22,2018-10-25,0.054744243379824455,-2.490051800355924,-0.7850853021124804,1.0457207200455194,-0.594689767165858,-2.0090219263938045,-0.892741352882975,-0.42401013972575524,-0.7427708765990283,-0.6609120979757674,0.2155655212745317,0.26077885084863084,-0.13861422621192646,-0.6694705762148386,1.800611187460502,-0.33736614787742164,-0.6725654442546743,-0.7244062198854764,-0.6604322585698943,-0.3471246636681066,-0.48668632684206314,-0.659390648988959,0.37821920440442286
002177.XSHE,MainBoard,InformationTechnology,22,2018-10-25,2.145686060537648,-0.8395051826432696,-0.6313136015565843,-0.6425509216886385,-0.6688488675582444,-0.45601187253255665,-0.14989906393254943,-0.9163025113527161,0.19105519960688402,0.40639889569670057,0.48924377500116495,0.5104311657549949,0.015134910048004198,0.18818777479631277,0.8741738114572313,0.11364834273811696,-0.5846237115962257,-0.5981034753560046,-0.5847080557713477,-0.6684360195403024,-0.7285711710486504,-0.048448382789211444,-0.5119581630828618
002857.XSHE,MainBoard,InformationTechnology,22,2018-10-25,-2.8877163092798215,-0.47543823352582626,1.017072292982294,-0.7988633611050608,-0.5696692202496083,-0.04385942659363918,0.4498040277469194,-0.6449361141207045,0.05468324574130489,0.6297789726817187,2.0139469690013656,1.1431179233335746,3.4359827212731644,2.098238498545782,1.800611187460502,3.605674023342905,2.0926493380003985,1.4755891772015646,1.503530641301139,0.8737616337133008,0.039512378665121216,0.8606686760264884,2.8740065906281256
000717.XSHE,MainBoard,Materials,22,2018-10-25,-1.7488874760481414,3.590644498198167,0.8556486266513605,1.4696262640965612,0.6160239841673805,1.02696920313684,-0.763471544454375,3.180441549638956,-0.8168065804458422,-1.0500328168972464,0.2031529904038615,0.18707964800464802,0.11386903303907674,-0.15412323372129386,-0.05226356454604059,0.04741055735470632,0.04437505983222931,0.29955947263373567,0.008610544993959602,-0.6679043458577697,-0.07162854883367718,0.6238290336977635,0.13871428015166398
300506.XSHE,GEM,Industrials,22,2018-10-25,-0.4494868014808721,0.3299782329588672,1.3986806175011863,-0.6683084692043121,2.155439676844432,0.38398081896250374,1.1332278574523365,-0.20292882482637206,-0.0797586664189561,-0.4171094941863029,-1.204751992646126,-1.050386538188462,-0.8719084422014688,-0.9188605931755259,-0.9787009405493124,-0.8766301323503689,0.33289760460072726,0.3707458247940819,1.0646323438775036,0.17148619917509805,-0.1661884659570577,-0.4889067698766319,-0.6415950807226807
600028.XSHG,MainBoard,Energy,22,2018-10-25,-1.6774084272171013,1.0123310414982776,-0.779328552569154,3.2320321446801765,-0.22606487193086758,0.07023434388755628,-0.5892275893425466,2.4496339094627926,-0.4033403964614091,-0.7184698620980428,0.5760546961920507,0.7490845360632253,-0.5993893200803242,-0.48754304721247416,-0.05226356454604059,-0.21712657096134444,-0.7872942102653735,-0.8244668758039287,-0.7966577906635217,-0.740639242935828,-0.8589000844100962,0.6169719754760495,0.048177390233824585
002219.XSHE,MainBoard,HealthCare,22,2018-10-25,0.5463258256567397,-2.2148025405059317,-0.46553352777768187,-0.15573643074717983,0.5216102319944905,-0.7898665578611291,-0.005915268604296361,-0.5155473803746985,-0.7428999849453726,-0.7584388960851725,0.8674335137493612,1.017884095548797,-0.4481772948048428,-0.5207436945366023,-0.05226356454604059,-0.4961078979011141,0.6775929437527917,0.1748358753970086,-0.25297172233100385,-0.6007196508064466,-0.5775863060716461,1.0149971379113172,0.34347080855630857
002927.XSHE,MainBoard,Industrials,22,2018-10-25,-0.742314436403003,-0.32570046736470454,1.26648971938988,-0.7896612030353305,-0.39988159350448427,0.03848966523653069,1.3536579956123382,-0.35173194112171646,0.3104430465876812,2.486801252957315,-2.1780763256245415,-1.8099785556622914,-1.9523165267636389,-1.2710591537134548,0.8741738114572313,-0.902113295315976,3.659822017254275,3.6925334350143957,3.710747024696113,0.6391361608785153,0.4334952838863838,1.0147762878724005,-0.2724688613118353
603611.XSHG,MainBoard,Industrials,22,2018-10-25,0.08776785515530479,0.5389474865389884,-0.34602732342653375,0.05270319162771133,0.44998262948096596,0.11026427105568373,-0.3592245981950965,0.3970975914630984,-0.3636255290201425,-0.4966009185321438,-0.693960251610582,-0.5702306340114223,-0.6440423660774311,-0.8809479778340269,-0.9787009405493124,-0.7142458065053353,-0.7237547396174708,-0.7341583345156426,-0.5711945759696713,0.9510008059660576,0.1670519258501968,-0.6083211716286115,-0.5898373262649431
600460.XSHG,MainBoard,InformationTechnology,22,2018-10-25,-0.33049148432008074,-0.5037593981129276,0.6479828596104878,-0.6121044272239643,-0.290487056378265,-0.2645539927367475,-0.24403515594686037,-0.484391874694323,-0.21228580769523303,-0.46931762315988096,-0.24001633200702338,-0.36362383265523884,0.4740218984179167,-0.05596314264481904,-0.9787009405493124,-0.3589104653610845,0.04860260886610391,0.16485113279020874,0.1686742414524586,-0.16119747208358332,0.6241770064249249,0.23022335718486184,0.3311554463046494
000610.XSHE,MainBoard,ConsumerDiscretionary,22,2018-10-25,3.728696709080188,-1.1331419179587259,-0.4342684475842351,-0.2117749653396535,-0.5538147757684524,2.5758543994241214,-1.3398085071370411,-0.1596586759055868,-0.5087999175144696,-0.33747579622705604,0.028392417652344994,0.0732708874767305,-0.17402460587960952,0.30254222159780003,1.800611187460502,-0.41785599337427454,1.0479567651289485,1.3452326995116322,0.33033437492318585,0.15595015141964935,-0.27595606421298857,-0.24651819525843566,0.008656218239643028
300441.XSHE,GEM,Industrials,22,2018-10-25,0.31174877492268727,0.025546193382852467,0.10792740705614887,-0.5005185759400871,0.7175826077675046,0.09828633820139375,0.3417756583838796,-0.22306122912161386,-0.5440292073891622,-0.6295214384338952,-0.12482591364492024,-0.09278981339559685,-0.15073317713658702,-0.5667302529166284,0.8741738114572313,-0.3953649550877128,-0.3759557836155214,-0.3027370935363934,-0.3943911120659585,-0.1887223020923987,-0.047680289323676774,-1.226410424212722,-1.8621800960206356
300377.XSHE,GEM,InformationTechnology,22,2018-10-25,-0.4701335727392768,-0.2948049995810515,0.4567891089038709,-0.8416806387842902,0.9051688382319332,0.20168370541671934,2.8410539150006877,-1.0007421842430777,1.9912197194453534,1.9882346588494049,-0.20464758013190207,-0.48986724803741566,1.1532073796393196,1.5028749523100058,-0.9787009405493124,0.5095958435852855,0.6811618703561598,0.9166746792988167,0.7558422373507655,0.3900943165041739,0.3990728185022404,-0.2500173234316065,-0.400829229671607
300539.XSHE,GEM,Materials,22,2018-10-25,-0.28836929836823016,-0.5289994391093074,0.8248057315744315,-0.5045036504499286,0.11145197572966033,-0.20790187675291574,-0.47491510972523787,0.19964600109743916,-0.7617673557595085,-0.7540812441073397,0.49308655029506887,0.47330259731346974,0.18631213229898022,0.5627207497856778,-0.05226356454604059,0.33608642855905196,0.1768873988382221,0.05234248903240971,0.9601580520721515,-0.623001541053932,-0.5290686878571386,0.4938969639564478,0.9618098048417193
000913.XSHE,MainBoard,ConsumerDiscretionary,22,2018-10-25,1.1893119916753911,-0.2655372774394323,-0.5446945208863496,0.22545072972451152,0.49249444316183,-0.3274187792748125,-0.6136139258484938,0.48704705617908567,-0.4520141965379326,-0.441609229924976,0.09601913202260781,0.11640655649554128,-0.05885608910770826,-0.094354644932504,-0.9787009405493124,-0.20980320817638384,-0.6146884495982565,-0.5436208080764039,-0.6569093857659888,-0.417433338470525,-0.09307295905004265,-0.10840682640643683,-0.020128444152127712
300344.XSHE,GEM,Materials,22,2018-10-25,-0.12843516490839565,-0.729030616227114,0.5861715111068763,-0.6162194841902664,-0.14532796060842093,-0.2999160181792263,0.17455798105581638,-0.4383139314648605,-0.8262015433103328,-0.7185981082019687,0.330967157086919,0.31258092956872624,0.14862123811411576,0.5564915111164184,-0.05226356454604059,0.13857713375797323,0.3795215891943196,0.8270875658274384,1.0754170182421938,-0.6329363402145556,-0.6347564535787634,0.045362704215438476,1.7600111422140206
002811.XSHE,MainBoard,Industrials,22,2018-10-25,0.01900511951417785,0.28520772788194443,-0.38727058408279785,0.15755618964800627,0.006685356796176225,0.20206663840337696,-0.7226427821850455,0.44516940133709676,-0.464206675260168,-0.3184519314659148,-0.21864778986399844,-0.2735121977029199,0.1922844068775749,0.8496022658303346,0.8741738114572313,0.5130256281026826,-0.026894202596467593,0.3946221553568765,0.6103458630435872,-0.2456571257898503,-0.3888133528607794,-0.9521693711814058,-0.31994497529212595
002671.XSHE,MainBoard,Materials,22,2018-10-25,0.20803630447810464,0.27149930580424775,-0.8383304558374967,-0.16193167531262856,1.2904222019300793,-1.348865283632011,0.543125028504071,-0.749349239340498,-0.689817512017969,-0.46775580623458785,0.4017523588570763,0.43579029844862976,-0.05552051667841483,0.13432517304198607,0.8741738114572313,-0.07799890725712325,-0.39586250323995426,-0.3516426707182877,-0.46174283697259455,-0.6780816735618809,-0.6355656211612942,-0.4092602558840422,-0.16534867260943514
000688.XSHE,MainBoard,Materials,22,2018-10-25,-1.197454338115533,-0.2669983056404499,1.7551163247372434,-0.8185191889186108,-0.6645468434861773,-0.10945260629006952,1.4076313651837216,-0.34218162528015517,3.800302697986925,2.871261064399823,1.148262838395394,1.203381447640506,0.003577687607101919,0.6982982972931427,0.8741738114572313,0.9938323599598933,-0.7778718501908387,-0.8034930984670597,-0.7576240948923882,-0.727392530109109,-0.6713728417474394,0.9407775026124339,1.2367912980769713
002899.XSHE,MainBoard,ConsumerDiscretionary,22,2018-10-25,0.3672998826976426,-0.02585857491589342,-0.35752271043503303,-0.3051005993643573,-0.3157092752956302,-0.1226571395672922,0.15725085683962864,0.25995772075785495,0.0687513545590255,0.6633474979870858,-3.246873144864224,-3.1497740658496,-1.035242752365421,-1.3468963752019054,-0.05226356454604059,-1.75856729622886,3.659822017254275,3.6925334350143957,3.710747024696113,2.8157958108663665,2.575522202403662,-1.5814993072965358,-2.0090527696084957
603716.XSHG,MainBoard,HealthCare,22,2018-10-25,-0.5096187001691331,-0.14963296005890442,0.2288660464868618,-0.4892520116875437,1.137322853537265,0.2585676265476789,0.20168282657755898,0.04496521540976416,0.5976201378788693,0.18098055165819216,-0.22237549848577343,-0.16847327302386672,-0.26086689052993517,0.15064717357360197,0.8741738114572313,0.11100181430698343,-0.381957698921318,-0.3961574906996751,-0.23138423223959603,1.0953348784641108,0.16229346238812842,0.45335033234751,0.334225373382858
600168.XSHG,MainBoard,Utilities,22,2018-10-25,-0.48979546843371013,0.8985604742421283,-0.8792628770527482,-0.5036688820929841,-0.1979968329290261,0.013447499296898133,-0.1305725793204355,-1.2377658255901887,-0.2953791159343708,-0.6342214411962819,0.46312804755689213,0.513196208399023,-0.11013063821183126,-0.19388432549837242,-0.9787009405493124,0.1787617763946212,-0.7505341334127557,-0.7768580323243239,-0.7454872701238822,-0.6375746388729678,-0.744085382356846,-1.4106505686484754,-0.8058058677900761
002747.XSHE,MainBoard,Industrials,22,2018-10-25,-1.2298084254726294,-0.5490886766607145,1.2279697374073495,-0.6875736648148016,1.151901107638986,0.02476153795495939,0.27949446054145183,-0.4542109330600084,-0.6311001081074974,-0.5007959683976991,-0.43734153149818383,-0.41946579702146586,-0.15328160879951155,-0.9609991823699399,-0.05226356454604059,-1.3908679655822829,-0.4971506678552806,-0.44298283968946767,-0.4380254373775566,0.17440529790630957,0.5665906026172063,-0.4426437843292585,-0.0870038510277133
000723.XSHE,MainBoard,Energy,22,2018-10-25,-0.7865152496956195,1.0294531521504662,-0.22410811836539687,0.10824692721842356,-0.3130022343863271,0.05834443214542753,-0.1210378064254433,0.642559196720082,-0.7320249121841362,-0.8409084170636025,0.8506976651276074,0.7874764669198908,0.43730667152868974,1.3415903847768247,-0.05226356454604059,1.947102657162614,0.68856102315085,1.0784368815101328,0.23106898963840136,-1.042555604358894,-0.5868690350991091,1.4332334178110462,0.8329275134300114
000609.XSHE,MainBoard,RealEstate,22,2018-10-25,2.8156566500474725,-0.7665418115445776,-0.8792454732772439,-0.8627230688640719,-2.6641631302745123,-0.4328758668103125,0.04441894837011183,-1.470027029406097,-0.7489239090496416,0.15079006619306476,0.18409362237968718,0.1725151020565658,0.09142509354116074,-0.054193933098140426,1.800611187460502,-0.14053126147326658,-0.31630567048249586,-0.33255079433346457,-0.42280668315953945,-0.3949256584929412,-0.41780462426115167,-1.0106365066749718,-0.9386462095275759
