order_book_id,board_type,sector_code,yield_rate,month,date,VOL5,VOL20,OBOS,RSI10,ACCER,SY,AROON_UP,AROON_DOWN
605055.XSHG,MainBoard,ConsumerDiscretionary,0.03314917127071815,220,2021-07-13,5.1313260000000005,6.753609750000001,-2.0,25.54744525547444,-0.0016311496974479771,44.44444444444444,7.142857142857142,85.71428571428571
002354.XSHE,MainBoard,InformationTechnology,-0.0732323232323232,220,2021-07-13,0.9985461964396046,0.8358317290189422,2.0,73.62637362637365,0.011904761904761928,66.66666666666666,92.85714285714286,42.857142857142854
603515.XSHG,MainBoard,ConsumerDiscretionary,-0.009008757071174989,220,2021-07-13,0.22987423447017757,0.27369631014080975,0.0,55.07246376811595,-0.0001585436368044682,44.44444444444444,57.14285714285714,28.57142857142857
603559.XSHG,MainBoard,TelecommunicationServices,0.007507507507507505,220,2021-07-13,2.6764945675941787,2.246031309591725,-2.0,60.88560885608856,0.006256256256256154,44.44444444444444,64.28571428571429,50.0
000927.XSHE,MainBoard,ConsumerDiscretionary,0.0,220,2021-07-13,2.757081103270088,1.4779388675583904,-4.0,31.0077519379845,-0.0196592398427261,33.33333333333333,64.28571428571429,100.0
300951.XSHE,GEM,InformationTechnology,-0.026632402756687323,220,2021-07-13,4.825938000000001,6.786327499999997,-2.0,39.55943093162001,-0.0077622218143186174,33.33333333333333,42.857142857142854,85.71428571428571
002408.XSHE,MainBoard,Materials,0.003063508895958522,220,2021-07-13,2.253573692391685,2.148136341770681,4.0,67.84313725490196,0.012906692899041648,66.66666666666666,100.0,7.142857142857142
002425.XSHE,MainBoard,InformationTechnology,0.005307855626327074,220,2021-07-13,3.90871045746704,2.856302463525732,2.0,79.99999999999996,0.0008340915984228402,66.66666666666666,100.0,35.714285714285715
002588.XSHE,MainBoard,Materials,0.023972602739726234,220,2021-07-13,5.458894773874157,2.3119640479898327,2.0,70.83333333333331,0.021954500978473547,55.55555555555556,92.85714285714286,50.0
688777.XSHG,KSH,Industrials,-0.009229258713794763,220,2021-07-13,4.192729879966351,3.7463359162362453,4.0,76.0898282694848,0.0051885358954577715,66.66666666666666,92.85714285714286,14.285714285714285
300870.XSHE,GEM,InformationTechnology,-0.07735191637630656,220,2021-07-13,3.9539383399209482,7.2722422924901196,0.0,29.983792544570477,-0.0018209722913555138,44.44444444444444,14.285714285714285,85.71428571428571
000036.XSHE,MainBoard,RealEstate,-0.008810572687224627,220,2021-07-13,1.5002645428174366,1.8091136151722076,2.0,60.2564102564102,-0.0006239393031844444,55.55555555555556,35.714285714285715,14.285714285714285
300146.XSHE,GEM,ConsumerStaples,0.047357584076870296,220,2021-07-13,1.906049670126773,1.957735273296686,-2.0,16.8486739469579,-0.0034480504624635694,44.44444444444444,7.142857142857142,92.85714285714286
603856.XSHG,MainBoard,Materials,0.10704727921498658,220,2021-07-13,0.6759872487760057,0.5531336554158772,2.0,48.8188976377953,0.003738158956713799,66.66666666666666,21.428571428571427,50.0
603636.XSHG,MainBoard,InformationTechnology,-0.00932642487046631,220,2021-07-13,0.845367283059446,0.8164368940256761,0.0,56.343999050741786,0.0034150344046719465,44.44444444444444,7.142857142857142,78.57142857142857
603012.XSHG,MainBoard,Industrials,-0.051948051948051965,220,2021-07-13,0.887477441246701,0.9686019935277114,2.0,54.687500000000036,-0.0005411255411255983,55.55555555555556,57.14285714285714,50.0
002084.XSHE,MainBoard,Industrials,0.04693140794223827,220,2021-07-13,1.4402651646447917,0.9151128056096808,0.0,64.06250000000001,0.0015257005329207055,44.44444444444444,100.0,85.71428571428571
002132.XSHE,MainBoard,Materials,-0.030614082477939952,220,2021-07-13,4.0418749420079205,4.056949342327924,2.0,63.76811594202899,0.010416666666666689,55.55555555555556,35.714285714285715,50.0
000697.XSHE,MainBoard,Industrials,-0.0035756853396902155,220,2021-07-13,1.3988985983541475,1.8309151394017606,4.0,51.40845070422538,0.010613542198762725,66.66666666666666,7.142857142857142,57.14285714285714
002387.XSHE,MainBoard,InformationTechnology,0.022772277227722793,220,2021-07-13,0.906987489280989,1.1387227783834113,-2.0,42.36453201970441,-0.0016855256954264927,33.33333333333333,64.28571428571429,50.0
300089.XSHE,GEM,ConsumerDiscretionary,-0.029126213592232997,220,2021-07-13,2.269605975617232,3.6214712213256264,-2.0,25.599999999999966,-0.005239636307597417,44.44444444444444,21.428571428571427,7.142857142857142
002927.XSHE,MainBoard,Industrials,-0.03933136676499516,220,2021-07-13,0.4535019705138879,0.711038097801098,2.0,34.28571428571432,0.0018729222269045546,55.55555555555556,28.57142857142857,85.71428571428571
603138.XSHG,MainBoard,InformationTechnology,-0.001436781609195359,220,2021-07-13,1.4012363682683053,1.9459079463011593,4.0,61.01083032490974,0.007149698960043702,66.66666666666666,7.142857142857142,85.71428571428571
003017.XSHE,MainBoard,HealthCare,-0.02029566524680515,220,2021-07-13,3.6719999999999997,2.6936982682166666,0.0,63.025210084033546,0.002860603023469381,44.44444444444444,71.42857142857143,50.0
300755.XSHE,GEM,ConsumerDiscretionary,-0.03515028018339261,220,2021-07-13,3.576826262601434,3.164919519795048,-2.0,40.3022670025189,-0.005925090362176583,33.33333333333333,21.428571428571427,85.71428571428571
000610.XSHE,MainBoard,ConsumerDiscretionary,-0.04055390702274975,220,2021-07-13,3.493412849198511,3.809480188797148,-2.0,48.2142857142857,0.00208421647590785,44.44444444444444,28.57142857142857,50.0
600500.XSHG,MainBoard,Materials,0.062416998671978696,220,2021-07-13,1.3335143256334157,1.348943557862268,0.0,46.22099211788669,-0.0032064034938604985,44.44444444444444,28.57142857142857,85.71428571428571
002627.XSHE,MainBoard,Industrials,-0.07017543859649111,220,2021-07-13,5.653584436718825,4.355310453450093,0.0,72.00000000000001,0.011347813979392796,55.55555555555556,85.71428571428571,14.285714285714285
002945.XSHE,MainBoard,Financials,-0.019936204146730474,220,2021-07-13,0.7419193893514272,1.84543116123397,-4.0,27.86069651741298,-0.0015474291790081222,22.22222222222222,35.714285714285715,85.71428571428571
600073.XSHG,MainBoard,ConsumerStaples,-0.001242236024844967,220,2021-07-13,0.6038157452728542,0.6529640609867587,0.0,43.26202535244457,0.00013309671694777974,55.55555555555556,21.428571428571427,64.28571428571429
600421.XSHG,MainBoard,Industrials,,220,2021-07-13,,,,,,,,
600151.XSHG,MainBoard,InformationTechnology,0.07982740021574974,220,2021-07-13,1.2602811906828775,1.6205248031094823,-2.0,48.554913294797664,0.0008090614886732793,33.33333333333333,21.428571428571427,78.57142857142857
600861.XSHG,MainBoard,ConsumerDiscretionary,0.0929951690821258,220,2021-07-13,2.1700077671450777,1.3250680941856119,-6.0,51.5060240963855,0.006606567747872054,22.22222222222222,78.57142857142857,50.0
300040.XSHE,GEM,Industrials,-0.10146055583535551,220,2021-07-13,18.437789771984207,9.803383338051615,2.0,78.6749482401656,0.03709089498991789,66.66666666666666,100.0,42.857142857142854
600845.XSHG,MainBoard,InformationTechnology,0.02376910016977929,220,2021-07-13,0.748384896714469,0.6215970969120238,0.0,79.0275761973875,0.0028680572398738892,55.55555555555556,100.0,7.142857142857142
300349.XSHE,GEM,InformationTechnology,-0.0035335689045937757,220,2021-07-13,0.9315341740894764,2.209125922030244,-2.0,45.08670520231213,-0.0036282180716808972,33.33333333333333,7.142857142857142,85.71428571428571
000938.XSHE,MainBoard,InformationTechnology,0.09514409790761946,220,2021-07-13,2.4491075594345446,1.6057731697460977,6.0,86.95652173913044,0.01777959505950028,77.77777777777779,100.0,28.57142857142857
688601.XSHG,KSH,InformationTechnology,,220,2021-07-13,20.150344009952516,,-2.0,44.98126338329765,-0.002658352229780944,33.33333333333333,,
600826.XSHG,MainBoard,Industrials,-0.00846432889963733,220,2021-07-13,0.47360825500264486,0.2878106620562887,2.0,71.76470588235286,0.007298324408360757,55.55555555555556,100.0,50.0
002851.XSHE,MainBoard,Industrials,-0.029900332225913706,220,2021-07-13,1.2499721924446399,0.8105340559006792,2.0,45.07042253521127,0.001854928017718737,55.55555555555556,21.428571428571427,64.28571428571429
002399.XSHE,MainBoard,HealthCare,-0.019367333763718575,220,2021-07-13,0.151101445255883,0.16976377115227453,0.0,39.10144051586776,-0.0019892624037880324,44.44444444444444,7.142857142857142,78.57142857142857
688696.XSHG,KSH,ConsumerDiscretionary,-0.12481772293886717,220,2021-07-13,6.192061043287387,4.944543056074423,-6.0,21.993052540165003,-0.01916830248644604,22.22222222222222,21.428571428571427,100.0
603798.XSHG,MainBoard,Energy,0.0038797284190106307,220,2021-07-13,0.8273,1.1113656500000002,4.0,53.913043478260846,-5.773405385427292e-05,66.66666666666666,7.142857142857142,85.71428571428571
002362.XSHE,MainBoard,ConsumerDiscretionary,-0.058127572016461015,220,2021-07-13,2.3400531505465403,2.9494921865538695,-2.0,42.23918575063615,-0.008916323731138511,33.33333333333333,50.0,100.0
000620.XSHE,MainBoard,RealEstate,-0.021008403361344463,220,2021-07-13,1.038235968020847,0.8576967642543099,-2.0,46.66666666666664,-0.005752300920368176,44.44444444444444,78.57142857142857,92.85714285714286
600448.XSHG,MainBoard,ConsumerDiscretionary,-0.018575851393188847,220,2021-07-13,0.871133045065208,1.1438342329808053,-4.0,31.818181818181856,0.00025799793601648675,33.33333333333333,21.428571428571427,50.0
603639.XSHG,MainBoard,Materials,-0.03300865800865793,220,2021-07-13,0.412546797024616,0.50272290931847,4.0,66.17647058823533,0.005404813440527644,66.66666666666666,100.0,50.0
002553.XSHE,MainBoard,Industrials,0.21013133208255153,220,2021-07-13,3.7842294696828627,3.928890988642096,-2.0,61.935483870967765,0.005025462342535513,44.44444444444444,85.71428571428571,50.0
