order_book_id,board_type,sector_code,yield_rate,month,date,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,operating_revenue_growth_ratio_ttm,net_profit_growth_ratio_ttm,gross_profit_margin_ttm,total_asset_turnover_ttm,cash_ratio_lf,current_ratio_lf,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
300020.XSHE,GEM,InformationTechnology,-0.07823135785867519,0,2017-01-03,0.020094220645762915,3.6024377974321493,0.16402905335910198,-0.2139230174398673,0.06818419152819177,0.22047697829477958,0.3370494964653028,0.4769628821804817,1.781578198524541,-0.397708429412015,-0.48152013819307343,0.16762341756211685,59.999999999999986,44.44444444444444,-0.9931913298769597,1.8204975254682996,2.12170652260833,3.563802506403953,0.5806084433920893,1.3075457245910835,90.92409240924081,80.15384615384626
002067.XSHE,MainBoard,Materials,-0.008956059333893096,0,2017-01-03,0.02404114684554959,2.3981928245332687,0.4558652769448581,0.170410210931623,32.98842402388428,0.11258118069842014,0.5858411970830069,0.15602786396082263,1.3787888720922494,-0.13869540694688887,-0.1535935710213314,0.029796328148885054,43.85964912280706,44.44444444444444,-0.8142116950407063,1.9974161642980475,2.2078511340140485,2.5573389700907625,0.18570199376654042,0.2982885383863427,90.04524886877833,83.62068965517257
600439.XSHG,MainBoard,ConsumerStaples,-0.055231006678494565,0,2017-01-03,0.015719677936365105,3.520686565198491,0.22152678576231016,-0.09029071918156006,-0.17727427114591277,0.3356158202507804,0.40295776791789395,0.38634140175684883,3.2423980127369676,0.09718061732075967,0.06870699810418929,0.05694723843314076,64.81481481481485,55.55555555555556,4.19039625921704,1.354099197626039,1.6364679410956502,1.8456875577427097,0.16210727289514065,0.3461356197995056,76.14213197969545,58.95691609977344
600828.XSHG,MainBoard,ConsumerDiscretionary,-0.024456402852517822,0,2017-01-03,0.003371368562511369,5.096644464972579,0.23953996132734412,-0.2793372258991813,-0.8978668642981714,0.2605720047945906,0.3283886214593519,0.09256324638801702,0.3765156779831216,0.05391605217142015,0.029904787540938754,0.04802252926096279,56.60377358490566,44.44444444444444,3.50644655982649,3.378657077100125,3.2592871893410527,2.6285575120121396,0.2785782438007108,0.5244309767240904,96.00938967136155,89.74358974358981
600620.XSHG,MainBoard,Industrials,-0.11946565594634251,0,2017-01-03,0.003139135020855789,3.2756389398282604,0.004107543642311748,0.051275623756926736,-0.32618651880368343,0.27581201200398914,0.01070334410889008,4.077273951335008,7.688318665679297,-0.278712833505935,-0.27619058255686535,-0.00504450189813932,46.666666666666615,55.55555555555556,-0.35350636009307324,0.8528118877299292,1.9020829874711975,2.1247043904541667,0.5453710719422328,1.0379113912316842,83.71257485029922,75.16703786191522
600864.XSHG,MainBoard,Utilities,-0.09228656528072898,0,2017-01-03,-0.014975432505909462,3.854177957965136,0.047342958421942534,-0.04981654396420521,-1.3058586279683089,0.2695827714695004,0.10820733275092467,1.083108298824894,1.878223033903467,-0.11865498824733578,-0.1922252116138055,0.14714044673293947,70.68965517241381,44.44444444444444,2.2407693005533873,1.4556853418670124,1.439928558440142,1.4312204625326204,0.25887664114952863,0.43926083040916186,84.25414364640865,66.17283950617278
600686.XSHG,MainBoard,ConsumerDiscretionary,-0.021191179024136253,0,2017-01-03,0.0185167365732509,2.298030158136247,2.8547934416827196,0.06222148646968728,-0.8841961981948259,0.15533466978436247,0.962669251771888,0.24094205203853927,1.2723619088502047,0.27373704886101713,0.22700041638874008,0.0934732649445541,73.224043715847,77.77777777777779,5.03643608428762,1.6269624367470898,2.032710097636949,2.030775708309837,0.33982034660744165,0.6967444347689029,134.58498023715404,94.49838187702265
603116.XSHG,MainBoard,ConsumerDiscretionary,-0.07110802053164333,0,2017-01-03,0.03247487210927551,2.992454830423521,0.3113541827918115,-0.06822337169353876,-0.09046249329575118,0.36218643092285197,0.7116178507194652,0.635599360982267,3.160492302469376,-0.23664715121742574,-0.20321767263419965,-0.06685895716645218,44.776119402985046,44.44444444444444,-1.426258234811365,3.2062395571256848,4.549109276895223,3.8124907580788943,0.23921468175881241,0.5758354796387909,88.57545839210155,68.25000000000011
000501.XSHE,MainBoard,ConsumerDiscretionary,0.1264407374890255,0,2017-01-03,0.08070968679248053,2.2888593878693193,1.456173885002561,-0.025512674300384175,0.34494923139201217,0.22621360706729754,0.9675578892780653,0.22536377295726692,0.39350504753509097,-0.12078449039685424,-0.02116873113926566,-0.19923151851517715,39.02439024390246,33.33333333333333,-1.6700791869156562,2.3702509023873506,1.723598425543833,1.7446361605372063,0.3950801774395074,0.5080331787348158,147.0653377630122,134.90566037735837
002404.XSHE,MainBoard,ConsumerDiscretionary,-0.06089563195888903,0,2017-01-03,0.013665255712574927,3.8797638875412757,0.4487204266814739,0.06965751972521295,0.02246848038011917,0.19493808060566575,1.0502129099602042,0.13650224536383193,1.5783190862780596,-0.01316624578722525,0.00991974054394187,-0.04617197266233424,52.38095238095233,33.33333333333333,1.6176310932580318,3.9656957415973255,4.167042659935047,3.638996336070794,0.1696223277716312,0.5300498038111013,114.8337595907927,98.3870967741933
600830.XSHG,MainBoard,ConsumerDiscretionary,0.0146486590238879,0,2017-01-03,0.028938855370609917,2.649289346381861,0.3674221043544373,0.1558832153910863,0.5147932058972893,0.0955422417564116,0.5475628572955263,0.571314054189797,1.4271159261821977,-0.07254321447871348,-0.13256991084886155,0.12005339274029614,67.9245283018867,77.77777777777779,3.035143769968072,2.7291268446274417,3.762836843927586,4.596634997077033,0.2539013226635306,0.4072475202464012,96.85230024213082,79.82456140350892
000503.XSHE,MainBoard,InformationTechnology,0.03467933491686459,0,2017-01-03,0.0009235702656915219,28.28789959775668,0.005744480741702545,0.19847462930480497,-1.1628233045983614,0.4109315076318844,0.15328298928336692,6.089297670027176,12.116068068878104,-3.031122653483642,-2.6953423854474146,-0.6715605360724552,12.74509803921571,33.33333333333333,-9.285814326808088,1.1160859053870513,1.159496023828366,1.3902284691074045,3.978828808105363,5.209020996862696,49.14425427872858,37.37302149775577
002075.XSHE,MainBoard,Materials,,0,2017-01-03,0.0034764671068429334,15.08889985513348,0.16255151131741769,-0.38889078307977487,-2.697261787408314,0.09618049763338829,0.8656822262750543,0.11438497601859685,1.1894018369141084,,,,,,,,,,,,,
002383.XSHE,MainBoard,InformationTechnology,0.007925222188170267,0,2017-01-03,0.005230065202631958,5.4469049504315965,0.06991599948561994,0.25471620661326555,-0.3041140965775302,0.4797262239469969,0.26690838766428104,0.9705031084005062,1.9853882584526852,0.5945061326487675,0.8360397764443842,-0.4830672875912334,42.76595744680851,33.33333333333333,-0.734255859926583,11.551781009908284,9.005342703132776,8.741445737705526,0.44072071232772336,1.257108459562656,155.91355599214145,83.46927678085918
